epochs	refinement	Runs	X type	X degree	X breaks	B type	B degree	B breaks	design	criterion
3000	300	12	bpslines	2	15	bsplines	2	3		
3000	300	12	bpslines	2	15	bsplines	2	4		
3000	300	12	bpslines	2	15	bsplines	2	5		
3000	300	12	bpslines	2	15	bsplines	2	6		
3000	300	12	bpslines	2	15	bsplines	2	7		
3000	300	12	bpslines	2	15	bsplines	2	8		
4000	400	12	bpslines	2	19	bsplines	0	1		
4000	400	12	bpslines	2	19	bsplines	0	2		
4000	400	12	bpslines	2	19	bsplines	0	3		
4000	400	12	bpslines	2	19	bsplines	0	4		
4000	400	12	bpslines	2	19	bsplines	0	5		
4000	400	12	bpslines	2	19	bsplines	0	6		
4000	400	12	bpslines	2	19	bsplines	0	7		
4000	400	12	bpslines	2	19	bsplines	0	8		
4000	400	12	bpslines	2	19	bsplines	1	1		
4000	400	12	bpslines	2	19	bsplines	1	2		
4000	400	12	bpslines	2	19	bsplines	1	3		
4000	400	12	bpslines	2	19	bsplines	1	4		
4000	400	12	bpslines	2	19	bsplines	1	5		
4000	400	12	bpslines	2	19	bsplines	1	6		
4000	400	12	bpslines	2	19	bsplines	1	7		
4000	400	12	bpslines	2	19	bsplines	1	8		
4000	400	12	bpslines	2	19	bsplines	2	1		
4000	400	12	bpslines	2	19	bsplines	2	2		
4000	400	12	bpslines	2	19	bsplines	2	3		
4000	400	12	bpslines	2	19	bsplines	2	4		
4000	400	12	bpslines	2	19	bsplines	2	5		
4000	400	12	bpslines	2	19	bsplines	2	6		
4000	400	12	bpslines	2	19	bsplines	2	7		
4000	400	12	bpslines	2	19	bsplines	2	8		
6000	600	12	bpslines	2	29	bsplines	0	1		
6000	600	12	bpslines	2	29	bsplines	0	2		
6000	600	12	bpslines	2	29	bsplines	0	3		
6000	600	12	bpslines	2	29	bsplines	0	4		
6000	600	12	bpslines	2	29	bsplines	0	5		
6000	600	12	bpslines	2	29	bsplines	0	6		
6000	600	12	bpslines	2	29	bsplines	0	7		
6000	600	12	bpslines	2	29	bsplines	0	8		
6000	600	12	bpslines	2	29	bsplines	1	1		
6000	600	12	bpslines	2	29	bsplines	1	2		
6000	600	12	bpslines	2	29	bsplines	1	3		
6000	600	12	bpslines	2	29	bsplines	1	4		
6000	600	12	bpslines	2	29	bsplines	1	5		
6000	600	12	bpslines	2	29	bsplines	1	6		
6000	600	12	bpslines	2	29	bsplines	1	7		
6000	600	12	bpslines	2	29	bsplines	1	8		
6000	600	12	bpslines	2	29	bsplines	2	1		
6000	600	12	bpslines	2	29	bsplines	2	2		
6000	600	12	bpslines	2	29	bsplines	2	3		
6000	600	12	bpslines	2	29	bsplines	2	4		
6000	600	12	bpslines	2	29	bsplines	2	5		
6000	600	12	bpslines	2	29	bsplines	2	6		
6000	600	12	bpslines	2	29	bsplines	2	7		
6000	600	12	bpslines	2	29	bsplines	2	8		
