x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
-0.9984516,-0.9927551,-0.55401057,0.99466676,-0.99333346,-0.99670607,0.9987096,0.35202712,0.35637712,-0.9965043,0.9986424,-0.9949953,-0.9967773,0.99758637,-0.9976025
0.99823266,0.99866164,-0.9930155,0.99112034,-0.64473486,0.9918866,0.9983238,0.99824905,-0.99861825,-0.9859301,0.9976512,-0.97327834,0.9940886,-0.996517,0.9923635
-0.9980999,0.036928844,-0.2304402,0.9938333,-0.99023587,0.9990889,-0.9982339,-0.99748254,0.05734978,0.6841934,0.9813351,-0.9949433,0.99211514,-0.9370221,-0.12058054
0.9906894,-0.2363641,-0.9930038,-0.99875873,0.9976032,-0.99701494,0.0821506,0.65110576,0.708951,0.39268312,0.86343634,-0.33327734,-0.99815565,-0.028979108,0.12781052
0.9978258,0.2995007,-0.9973685,0.99493134,0.99679226,0.9982071,-0.995231,0.090228155,0.9943474,-0.99863416,-0.18986587,-0.99733794,-0.94468665,-0.99643284,0.99868923
-0.9901946,-0.1085992,-0.6168068,-0.9814855,-0.9970934,-0.9982906,-0.99693805,0.9899909,0.99552363,0.9971444,0.043165047,0.99654484,0.99877214,-0.9968274,0.99407804
-0.9975783,0.99242413,-0.9984846,0.9968854,-0.9972046,0.4517109,-0.99869996,-0.9981847,0.9958927,-0.9958053,-0.9969738,-0.9971641,-0.9958678,0.99743676,-0.988987
0.02604846,0.996619,-0.06916183,-0.3944143,-0.9984621,0.99838924,-0.8136889,0.085826226,0.99767494,-0.99747926,0.1753858,0.9982778,-0.01663455,0.023745963,-0.11871827
-0.9335487,0.9961342,0.22311792,0.02652537,-0.99534154,-0.26736134,-0.87891376,-0.053584337,-0.9977818,-0.9947474,-0.055193216,-0.99562114,0.14749007,-0.9962955,0.1297591
0.04748254,0.008818901,-0.99709404,-0.1445459,0.9917864,-0.056490578,-0.9980149,0.9986357,-0.51261383,0.38922468,0.60954213,-0.9981613,0.99375796,0.9986995,0.9990502
-0.9978589,0.9979668,-0.19177713,-0.06364521,-0.9831306,-0.99621433,0.9984617,-0.9897913,0.99854475,0.9873326,-0.9960701,0.9692846,-0.9986269,0.35328275,0.9768247
-0.9914076,-0.98240364,0.48016897,-0.9988721,-0.9970945,0.99691975,-0.9989387,-0.9980644,0.99777377,-0.9957325,-0.9972795,-0.13177983,0.9978264,-0.9982813,-0.9944407
-0.99670005,-0.9980898,0.99871296,0.9985228,-0.9969714,-0.9960817,0.8766835,-0.99677384,-0.90534234,0.9967467,-0.99809176,-0.9916296,0.6913678,-0.99767137,0.9985668
